,Label,Sentences
0,работа оправдывает затраты,"['чувство уверенности благодаря достойной зарплате.', 'чувство уверенности благодаря стабильной зарплате.', 'уверенность в будущем благодаря зарплате.', 'чувство справедливости в оплате труда.', 'ощущение ценности своей работы через вознаграждение.', 'чувство стабильности благодаря достойной зарплате и бонусам.', 'чувство справедливости в оплате труда среди коллег.', 'чувство уверенности в будущем благодаря ясным перспективам карьерного роста.', 'чувство безопасности на рабочем месте благодаря охране труда.', 'ощущение ценности своей работы через вознаграждение за усилия.', 'чувство гордости за командные достижения.', 'чувство гордости за команду.', 'чувство, что работа оправдывает затраты времени.']"
1,непринужденная атмосфера,"['приятная атмосфера в офисе.', 'доброжелательная атмосфера в офисе.', 'приятная музыка в офисе.', 'удобное расположение офиса.', 'творческая обстановка в офисе.', 'позитивный настрой в офисе.', 'чистота и порядок в офисе создают комфортную атмосферу.', 'комфортная температура в офисе круглый год создает приятную атмосферу для работы.', 'приятный интерьер офиса способствует хорошему настроению и продуктивности.', 'теплая атмосфера в команде.', 'непринужденная атмосфера.', 'качественная вентиляция и освещение в офисе.']"
2,доброжелательные отношения,"['наставничество среди коллег.', 'поддержка от коллег.', 'забота о благополучии коллег.', 'дружелюбие коллег.', 'дружеские отношения на работе.', 'общие увлечения сотрудников.', 'дружеские отношения вне работы.', 'вдохновляющие разговоры с коллегами.', 'открытость руководства.', 'доброжелательные отношения.']"
3,слаженная работа коллектива,"['справедливое вознаграждение за труд.', 'достойная компенсация за усилия.', 'достойная оплата труда за высокое качество работы.', 'конкурентоспособная оплата труда.', 'понимание ценности своей работы через оплату.', 'позитивные отзывы о работе.', 'регулярные премии за достижения.', 'слаженная работа коллектива.', 'возможность повышения зарплаты за успехи.']"
4,чувство,"['чувство принадлежности к команде.', 'чувство значимости в команде.', 'чувство ответственности за команду.', 'чувство поддержки от руководства.', 'чувство, что каждый важен для команды.', 'ощущение единства.', 'сплоченность команды при выполнении задач.', 'командный дух на мероприятиях.', 'командные достижения.']"
5,программы поощрения за лояльность,"['участие в программе поощрения сотрудников.', 'программа по улучшению условий труда сотрудников.', 'поддержка финансового благополучия сотрудников через различные программы.', 'программы по улучшению условий труда на основе отзывов сотрудников.', 'программы поощрения за лояльность.', 'программа лояльности для долгосрочных сотрудников с увеличением зарплаты.', 'возможность участвовать в волонтерских проектах.', 'поддержка финансового благополучия сотрудников.']"
6,совместные проекты и идеи,"['обсуждение идей на совместных встречах.', 'обсуждение идей на общих встречах.', 'наличие зон для совместных обсуждений.', 'регулярные встречи для обмена идеями.', 'возможность обсуждать идеи.', 'обсуждение заработной платы на собраниях с hr.', 'обсуждение книг и фильмов на общих встречах.', 'совместные проекты и идеи.']"
7,увеличение зарплаты по итогам,"['возможность карьерного роста с увеличением дохода.', 'доступ к информации о возможностях повышения дохода.', 'возможность делиться успехами.', 'возможность получения дополнительных бонусов за инициативу.', 'увеличение зарплаты по итогам года.', 'возможность получать бонусы за инициативу.', 'дополнительные выплаты за переработку.']"
8,способствуют развитию навыков и знаний,"['возможность смены должности для расширения опыта и навыков поддерживает интерес к работе.', 'возможность смены должности для расширения опыта и навыков.', 'участие в интересных проектах, которые способствуют развитию навыков и знаний, вдохновляет на работу.', 'возможность работать над сложными задачами развивает профессиональные навыки и компетенции.', 'участие в интересных проектах, которые способствуют развитию навыков и знаний.', 'обмен опытом и знаниями между сотрудниками.', 'возможность работать над сложными задачами развивает профессиональные навыки и компетенции, что важно для карьерного роста.']"
9,современное оборудование для работы,"['удобные рабочие места с необходимым оборудованием.', 'комфортные рабочие места.', 'современное оборудование для работы.', 'удобный график работы, учитывающий личные потребности сотрудников.', 'обеспечение всем необходимым для комфортной работы (канцтовары и т.д.).', 'возможность работать удаленно при необходимости.']"
10,взаимная поддержка в работе,"['поддержка друг друга в профессиональных целях.', 'поддержка наставников для профессионального развития сотрудников.', 'поддержка наставников для профессионального роста.', 'взаимная поддержка в работе.', 'возможность работать с разными специалистами.', 'взаимная поддержка при обучении новым навыкам.']"
11,новым идеям от всех членов команды,"['открытость к новым идеям от всех членов команды.', 'открытость к новым членам команды.', 'открытость к новым идеям и инновациям внутри команды способствует развитию карьеры каждого сотрудника.', 'открытость к новым идеям от коллег.', 'открытость к новым идеям и инновациям внутри команды способствует развитию карьеры.', 'уважение к каждому члену команды.']"
12,поддержка в сложных ситуациях,"['взаимопомощь в решении задач.', 'совместное решение задач.', 'взаимопомощь в трудные времена.', 'поддержка в сложных ситуациях.', 'сплоченность при выполнении сложных задач.']"
13,доступ к ресурсам для самовыражения,"['доступ к обучающим материалам и ресурсам.', 'доступ к необходимым ресурсам и материалам для работы.', 'доступ к обучающим материалам и семинарам по повышению квалификации.', 'доступ к ресурсам для самовыражения.', 'доступ к необходимым ресурсам для работы.']"
